sentence_index,word,label
0,新,O
0,gre,O
0,写作,O
0,考试,O
0,要,O
0,避免,O
0,的,O
0,误区,O
0,【,O
0,Q,O
0,微同,O
0,号,O
0,∶,O
0,30028233,B-contact
0,】,O
0,代考,O
0,包过,O
0,∶,O
0,绝对,O
0,靠,O
0,谱,O
0,】,O
0,雅思,O
0,6,O
0,分,O
0,等于,O
0,托福,O
0,几分,O
0,【,O
0,Q,O
0,微同,O
0,号,O
0,∶,O
0,30028233,B-contact
0,】,O
0,替考,O
0,包过,O
0,∶,O
0,安全可靠,O
0,】,O
0,p0dy2f0h8,O
1,免運,O
1,！,O
1,現貨,O
1,-,O
1,法國樂,O
1,美雅,O
1,1.5,O
1,L,O
1,微晶,O
1,鍋,O
1,-,O
1,i.2199814,O
1,.,O
1,400145224,O
2,彭泽县,O
2,姑娘,O
2,水疗,O
2,58197753,B-contact
2,薇,O
2,却,O
2,丝,O
3,duquesne,O
3,学位,O
3,认证,O
3,代办,O
3,《,O
3,q,O
3,微,O
3,97975565,B-contact
4,【,O
4,招商,O
4,微信,O
4,gylm555,B-contact
4,】,O
4,贝店,O
4,是,O
4,属于,O
4,贝贝网,O
4,吗,O
5,q,O
5,微信,O
5,956290760,B-contact
5,英国,O
5,毕业证,O
5,文凭,O
5,制作,O
5,英国大学,O
5,文凭,O
5,伪造,O
5,埃塞克斯,O
5,大学,O
5,学位证书,O
5,毕业证,O
5,成绩单,O
5,购买,O
5,英国,O
5,假证,O
5,学历,O
5,文凭,O
5,英国,O
5,成绩单,O
5,等级,O
5,英国,O
5,高等,O
5,荣誉,O
5,毕业文凭,O
5,证书,O
5,英国,O
5,毕业,O
5,证明,O
5,买,O
5,英国,O
5,学历,O
5,病假条,O
5,University,O
5,+,O
5,of,O
5,+,O
5,Essex,O
6,uow,O
6,毕业证,O
6,成绩单,O
6,文凭,O
6,q,O
6,微,O
6,♥,O
6,1688,B-contact
6,-,I-contact
6,99991,I-contact
6,办,O
6,卧龙岗,O
6,大学,O
6,研究生,O
6,学,O
7,俄罗斯,O
7,外围,O
7,价格,O
7,.,O
7,加微,O
7,uv7072,B-contact
8,阜新,O
8,特殊,O
8,上门服务,O
8,(,O
8,66.17,B-contact
8,.,I-contact
8,93.73,I-contact
8,薇,O
8,),O
9,《,O
9,lsu,O
9,学生,O
9,卡,O
9,》,O
9,q,O
9,微,O
9,：,O
9,6909257,B-contact
9,-,O
9,高仿,O
9,路易斯安那州,O
9,立,O
9,大学,O
9,文凭,O
9,-,O
9,2,O
10,au,O
10,毕业证,O
10,成绩单,O
10,微信,O
10,q729926040,B-contact
10,办理,O
10,大学,O
10,毕业证,O
10,成绩单,O
10,美国,O
11,无锡,O
11,代开,O
11,酒店,O
11,发票,O
11,-,O
11,代开,O
11,酒店,O
11,票,O
11,〖,O
11,咨询,O
11,(,O
11,微信,O
11,),O
11,,O
11,hnx618618,B-contact
11,〗,O
11,❬,O
11,保真,O
11,⟨,O
11,⟩,O
11,可验,O
11,❭,O
11,开票,O
11,范围,O
11,:,O
11,❬,O
11,酒店,O
11,发票,O
11,❭,O
11,❬,O
11,住宿,O
11,发票,O
11,❭,O
11,❬,O
11,餐饮,O
11,发票,O
11,❭,O
11,建筑,O
11,~,O
11,服务,O
11,~,O
11,广告,O
11,~,O
11,运输,O
11,~,O
11,会议,O
11,~,O
11,劳务,O
11,~,O
11,设备,O
11,~,O
11,材料,O
11,等,O
11,电子,O
11,发票,O
11,.,O
11,GtzX1129,O
12,Search,O
12,:,O
12,乔治,O
12,华盛顿大学,O
12,LLM,O
12,【,O
12,加微,O
12,∶,O
12,5335014,B-contact
12,】,O
12,招生,O
12,官内,O
12,推,O
12,稀缺,O
12,名额,O
12,：,O
12,机构,O
12,保障,O
12,】,O
12,佛蒙特,O
12,大学,O
12,无,O
12,成绩,O
12,保,O
12,录取,O
12,研究生,O
12,【,O
12,微,O
12,∶,O
12,5335014,B-contact
12,】,O
12,招生,O
12,官内,O
12,推,O
12,稀缺,O
12,名额,O
12,：,O
12,考官,O
12,内,O
12,推,O
12,】,O
12,g7qacuodi,O
13,pp,O
13,手表,O
13,官网,O
13,【,O
13,精仿,O
13,微,O
13,AWQ3622,B-contact
13,】,O
13,yTFY,O
14,未,O
14,毕业,O
14,学历,O
14,处理,O
14,》,O
14,q,O
14,微,O
14,912446885,B-contact
14,密西根,O
14,大学,O
14,安娜,O
14,堡,O
14,分校,O
14,umich,O
14,毕,O
14,-,O
14,2,O
15,海口,O
15,道路,O
15,运输,O
15,从业,O
15,资格证,O
15,哪里,O
15,办理,O
15,专业,O
15,办理,O
15,+,O
15,薇,O
15,anmanm165,B-contact
16,办理,O
16,国外,O
16,学历,O
16,认证,O
16,造假,O
16,考文,O
16,垂,O
16,大学,O
16,文凭,O
16,qq,O
16,-,O
16,微信,O
16,501479313,B-contact
16,伪,O
17,韩城,O
17,谷歌,O
17,推广,O
17,+,O
17,(,O
17,加,O
17,VX,O
17,:,O
17,jingjia8688,B-contact
17,),O
17,支持,O
17,测试,O
17,.,O
17,ghv,O
18,森林,O
18,舞会,O
18,单机,O
18,破解,O
18,（,O
18,┿,O
18,嶶,O
18,3559528,B-contact
18,）,O
19,authoruri,O
19,:,O
19,(,O
19,65e9f2be305ed74b,O
19,),O
19,+,O
19,author,O
19,:,O
19,(,O
19,朱麗霞,O
19,),O
19,+,O
19,河南,O
19,大學,O
19,哲學,O
19,與,O
19,公共,O
19,管理,O
19,學院,O
20,晋中,O
20,榆次区,O
20,女人,O
20,推油,O
20,(,O
20,71359189VX,B-contact
20,),O
20,有,O
20,想,O
21,Pepperdine,O
21,毕业证书,O
21,【,O
21,Q,O
21,微,O
21,29656722,B-contact
22,漳平,O
22,☀,O
22,️,O
22,少妇,O
22,微信,O
22,11582001,B-contact
22,☀,O
22,️,O
22,哪里,O
22,提供,O
22,外围,O
22,小妹,O
22,莞式,O
22,一条龙,O
22,空姐,O
22,包养,O
22,_,O
22,明星,O
22,同,O
22,城,O
22,上门,O
22,_,O
22,宝兴县,O
22,丨,O
22,上饶,O
22,广信区,O
22,-,O
22,中阳县,O
22,_,O
22,天等县,O
22,丨,O
22,uJvu,O
23,日本,O
23,首都,O
23,大学,O
23,东京,O
23,文凭,O
23,办理,O
23,(,O
23,蓶,O
23,☀,O
23,️,O
23,931219191,B-contact
23,),O
24,薇,O
24,十,O
24,69552030,B-contact
24,浙江,O
24,哪里,O
24,能,O
24,搞,O
24,到,O
24,不动产,O
24,发票,O
25,电子版,O
25,毕业证,O
25,办理,O
25,杨百翰,O
25,大学,O
25,文凭,O
25,成绩单,O
25,q,O
25,-,O
25,微,O
25,1855724,B-contact
26,加拿大,O
26,《,O
26,brock,O
26,毕业证,O
26,成绩单,O
26,》,O
26,q,O
26,微,O
26,16889,B-contact
26,-,I-contact
26,9991,I-contact
26,假,O
26,布鲁克,O
26,大学毕业,O
27,文凭,O
27,-,O
27,英文,O
27,《,O
27,埃,O
27,迪斯科,O
27,文,O
27,大学,O
27,毕业证,O
27,学位证,O
27,》,O
27,《,O
27,q,O
27,微,O
27,741003700,B-contact
28,☣,O
28,｡,O
28,买,O
28,加拿大,O
28,ufv,O
28,毕业证,O
28,和,O
28,学位证,O
28,扣微,O
28,1688,B-contact
28,-,I-contact
28,99991,I-contact
28,假,O
28,成绩单,O
29,u,O
29,-,O
29,of,O
29,-,O
29,r,O
29,毕业证,O
29,成绩单,O
29,q,O
29,威,O
29,1688,B-contact
29,-,I-contact
29,99991,I-contact
29,做,O
29,美国,O
29,罗彻斯特,O
29,大学,O
29,假文凭,O
29,做,O
29,-,O
29,3,O
30,咨询,O
30,购买,O
30,western,O
30,韦仕敦,O
30,大学,O
30,毕业证,O
30,qq,O
30,微信,O
30,603012914,O
30,咨询,O
30,办理,O
30,加,O
30,拿,O
31,LV,O
31,女包,O
31,nano,O
31,小包,O
31,尺寸,O
31,【,O
31,A,O
31,货,O
31,+,O
31,微,O
31,AWQ3622,B-contact
31,】,O
31,复刻,O
32,莱斯,O
32,大学,O
32,rice,O
32,毕业证书,O
32,87527357,B-contact
32,薇,O
32,qrice,O
32,毕业证,O
32,成绩单,O
32,留信网,O
32,真实,O
33,上海,O
33,青浦区,O
33,(,O
33,高端,O
33,小姐,O
33,微,O
33,87978378,B-contact
33,),O
33,怎么,O
33,找美,O
33,女主播,O
33,约炮,O
33,交友,O
33,k1e2,O
34,纽约,O
34,空姐,O
34,预约,O
34,【,O
34,微,O
34,sor105,B-contact
34,】,O
34,安排,O
34,.,O
34,ygz,O
35,『,O
35,补,O
35,文凭,O
35,』,O
35,clarkson,O
35,文凭,O
35,成绩单,O
35,办理,O
35,购买,O
35,《,O
35,微信,O
35,1954292140,B-contact
35,》,O
35,克拉,O
36,新西兰,O
36,哪里,O
36,提供,O
36,夜店,O
36,小姐,O
36,美女,O
36,约炮,O
36,一夜情,O
36,《,O
36,妹子,O
36,微信,O
36,43210636,B-contact
36,》,O
36,哪里,O
36,可以,O
36,玩,O
36,商务,O
36,模特,O
36,探花,O
36,，,O
36,妹子,O
36,大,O
36,保健,O
36,，,O
36,哪里,O
36,有美,O
36,女主播,O
36,一条龙,O
36,服务,O
36,，,O
36,华坪县,O
36,哪里,O
36,可以,O
36,玩,O
36,高端,O
36,空姐,O
36,约炮,O
36,上门,O
36,《,O
36,外围,O
36,微信,O
36,43210636,B-contact
36,》,O
36,沙湾县,O
36,出来,O
36,卖,O
36,的,O
36,酒吧,O
36,小姐,O
36,美女,O
36,莞式,O
36,一条龙,O
36,，,O
36,bh,O
37,官方,O
37,原版,O
37,制做,O
37,wfu,O
37,毕业,O
37,毕业证,O
37,q,O
37,-,O
37,薇,O
37,239093618,B-contact
37,做,O
37,国外,O
37,文,O
38,武汉,O
38,供卵,O
38,助孕,O
38,多少,O
38,钱,O
38,一次,O
38,【,O
38,微信,O
38,zscc933,B-contact
38,】,O
38,【,O
38,提供,O
38,专业,O
38,正规,O
38,的,O
38,代孕,O
38,机构,O
38,，,O
38,代孕,O
38,服务,O
38,，,O
38,代孕,O
38,公司,O
38,，,O
38,代,O
38,怀孕,O
38,《,O
38,咨询,O
38,微信,O
38,zscc933,B-contact
38,》,O
38,提供,O
38,全球,O
38,领先,O
38,的,O
38,生殖,O
38,医疗,O
38,服务,O
38,】,O
38,.,O
38,lys,O
39,UserProfile,O
39,:,O
39,武汉,O
39,商务,O
39,模特,O
39,微,O
39,信号,O
39,【,O
39,微信,O
39,：,O
39,4109881,B-contact
39,】,O
39,昆明,O
39,怎么,O
39,联系,O
39,商务,O
39,模特,O
39,，,O
39,威海,O
39,外围,O
39,女模特,O
39,兼职,O
39,微,O
39,信号,O
39,，,O
39,西安,O
39,商务,O
39,模特,O
39,上门,O
39,，,O
39,吉隆坡,O
39,模特,O
39,兼职,O
39,外围,O
39,女,O
39,经纪人,O
39,微信,O
39,联系方式,O
39,【,O
39,微信,O
39,：,O
39,4109881,B-contact
39,】,O
39,】,O
39,啸,O
39,靛,O
39,汇,O
39,do,O
40,北安,O
40,夜店,O
40,小姐,O
40,美女,O
40,一夜情,O
40,《,O
40,联系,O
40,微信,O
40,43210636,B-contact
40,》,O
40,出来,O
40,卖,O
40,的,O
40,外围,O
40,模特,O
40,约炮,O
40,一夜情,O
40,，,O
40,哪里,O
40,有,O
40,高端,O
40,外围,O
40,女约炮,O
40,一夜情,O
40,，,O
40,哪里找,O
40,外围,O
40,模特,O
40,包养,O
40,，,O
40,康定县,O
40,夜场,O
40,美女,O
40,同城约友,O
40,《,O
40,妹子,O
40,微信,O
40,43210636,B-contact
40,》,O
40,宁化县,O
40,哪里,O
40,能玩到,O
40,外围,O
40,美女,O
40,一条龙,O
40,服务,O
40,，,O
41,一比,O
41,一罗意威,O
41,凉鞋,O
41,【,O
41,＋,O
41,薇,O
41,,O
41,hpwvip002,B-contact
41,】,O
41,《,O
41,品牌鞋,O
41,,O
41,男鞋,O
41,,O
41,女鞋,O
41,,O
41,男女,O
41,款,O
41,》,O
41,,O
41,xie,O
41,.,O
41,ykmy,O
41,.,O
41,cn,O
41,,O
41,货源,O
41,,O
41,批发,O
41,,O
41,网站,O
41,,O
41,价格,O
41,,O
41,图片,O
41,,O
41,nqbqoo,O
42,邵武,O
42,什么,O
42,地方,O
42,有,O
42,夜场,O
42,小妹,O
42,港式,O
42,一条龙,O
42,(,O
42,美女,O
42,微信,O
42,43210636,B-contact
42,),O
42,空姐,O
42,伴游,O
42,.,O
42,高端,O
42,主播,O
42,包夜,O
42,.,O
42,顶级,O
42,模特,O
42,全套,O
42,.,O
42,康马县,O
42,哪里,O
42,提供,O
42,少妇,O
42,白领,O
42,上门服务,O
42,(,O
42,微信,O
42,43210636,B-contact
42,),O
42,信宜,O
42,哪里,O
42,有,O
42,外围,O
42,小姐,O
42,.,O
42,6d,O
43,奢侈品,O
43,手高,O
43,仿表,O
43,【,O
43,复刻,O
43,微信,O
43,10086082,B-contact
43,】,O
43,批发,O
43,购买,O
43,出售,O
43,定制,O
43,高仿,O
43,精仿,O
43,，,O
43,一比,O
43,一,O
43,a,O
43,货,O
43,，,O
43,复刻,O
43,顶级,O
43,原单,O
43,《,O
43,微信,O
43,10086082,B-contact
43,》,O
43,买,O
43,最,O
43,便宜,O
43,手表,O
43,，,O
43,包包,O
43,，,O
43,皮带,O
43,，,O
43,饰品,O
43,，,O
43,衣服,O
43,，,O
43,鞋子,O
43,】,O
43,tk,O
44,吴忠,O
44,疫情,O
44,期间,O
