sentence_index,word,label
0,海外,O
0,小说,O
0,app,O
0,【,O
0,Telegram,O
0,:,O
0,nanyakeji1,B-contact
0,】,O
0,源码,O
0,搭建,O
0,开发包,O
0,网,O
0,.,O
0,bgq,O
1,苏丹,O
1,谷歌,O
1,留痕,O
1,发帖,O
1,【,O
1,TG,O
1,电报,O
1,：,O
1,@,B-contact
1,trace88,I-contact
1,】,O
1,【,O
1,提供,O
1,谷歌,O
1,搜索,O
1,留痕,O
1,代发,O
1,服务,O
1,，,O
1,快速,O
1,收录,O
1,排名,O
1,，,O
1,效果,O
1,强悍,O
1,】,O
1,.,O
1,hub.0706,O
2,网上,O
2,能,O
2,买,O
2,到,O
2,空孕,O
2,催,O
2,乳剂,O
2,吗,O
2,【,O
2,购买,O
2,加,O
2,电报,O
2,飞机,O
2,wees86,B-contact
2,出售,O
2,各类,O
2,迷药,O
2,】,O
2,.,O
2,opl,O
3,搜索,O
3,留痕,O
3,推广,O
3,的,O
3,弊端,O
3,【,O
3,飞机,O
3,：,O
3,@,B-contact
3,lishengzhe,I-contact
3,】,O
3,谷歌,O
3,搜索,O
3,霸屏,O
3,推广,O
3,，,O
3,谷歌,O
3,SEO,O
3,优化,O
3,排名,O
3,，,O
3,谷歌,O
3,搜索,O
3,留痕,O
3,发外,O
3,链,O
3,引流,O
3,等,O
3,综合,O
3,推广,O
3,服务,O
3,！,O
3,ADIDLSZ7752957422,O
4,阿拉伯联合酋长国,O
4,外贸,O
4,推广,O
4,【,O
4,小,O
4,飞机,O
4,：,O
4,sms10666,B-contact
4,】,O
4,G57323,O
5,谷歌,O
5,seo,O
5,有,O
5,必要,O
5,做,O
5,么,O
5,【,O
5,TG,O
5,电报,O
5,:,O
5,@,B-contact
5,liuhenbaping,I-contact
5,】,O
5,FB,O
5,",",O
5,YouTube,O
5,竞,O
5,排名,O
5,价,O
5,推广,O
5,【,O
5,TG,O
5,飞机,O
5,:,O
5,@,B-contact
5,liuhenbaping,I-contact
5,】,O
5,帕劳,O
5,google,O
5,推广,O
5,【,O
5,Telegram,O
5,:,O
5,@,B-contact
5,liuhenbaping,I-contact
5,】,O
5,12,O
5,博用,O
5,网址,O
5,im,O
5,体育,O
5,注册,O
5,的,O
6,商丘,O
6,找,O
6,小姐,O
6,【,O
6,飞机,O
6,@,B-contact
6,lz8858,I-contact
6,】,O
6,专业,O
6,商丘,O
6,找,O
6,小姐,O
6,极速,O
6,o28734,O
7,谷歌,O
7,城市,O
7,站,O
7,群,O
7,cms,O
7,【,O
7,飞机,O
7,：,O
7,@,B-contact
7,lishengzhe,I-contact
7,】,O
7,谷歌,O
7,搜索,O
7,霸屏,O
7,推广,O
7,，,O
7,谷歌,O
7,SEO,O
7,优化,O
7,排名,O
7,，,O
7,谷歌,O
7,搜索,O
7,留痕,O
7,发外,O
7,链,O
7,引流,O
7,等,O
7,综合,O
7,推广,O
7,服务,O
7,！,O
7,ADIDLSZ6876177647,O
8,谷歌,O
8,搜索,O
8,留痕,O
8,【,O
8,飞机,O
8,：,O
8,@,B-contact
8,lishengzhe,I-contact
8,】,O
8,以及,O
8,蜘蛛,O
8,池,O
8,蜘蛛,O
8,少,O
8,，,O
8,蜘蛛,O
8,池,O
8,蜘蛛,O
8,少,O
8,，,O
8,蜘蛛,O
8,池,O
8,蜘蛛,O
8,少,O
8,相关,O
8,服务,O
8,！,O
8,ADID28224588,O
9,购买,O
9,Ig,O
9,账号,O
9,【,O
9,电报,O
9,飞机,O
9,∶,O
9,@,B-contact
9,bailufakabot,I-contact
9,_,O
9,电报,O
9,频道,O
9,∶,O
9,@,B-contact
9,bailufaka,I-contact
9,】,O
9,购买,O
9,出售,O
9,各类,O
9,平台,O
9,账号,O
9,卡号,O
9,ID,O
9,】,O
9,忻州,O
9,.,O
9,秦安县,O
9,-,O
9,徐州,O
9,云龙区,O
9,丨,O
9,南丰县,O
9,_,O
9,b4,O
10,苏丹,O
10,谷歌,O
10,留痕,O
10,发帖,O
10,【,O
10,TG,O
10,电报,O
10,：,O
10,@,B-contact
10,trace88,I-contact
10,】,O
10,【,O
10,提供,O
10,谷歌,O
10,搜索,O
10,留痕,O
10,代发,O
10,服务,O
10,，,O
10,快速,O
10,收录,O
10,排名,O
10,，,O
10,效果,O
10,强悍,O
10,】,O
10,.,O
10,hub.0706,O
11,鹰潭,O
11,首页,O
11,霸屏,O
11,【,O
11,小,O
11,飞机,O
11,：,O
11,sms10666,B-contact
11,】,O
11,727658,O
12,赌,O
12,世界杯,O
12,『,O
12,谷歌外,O
12,推,O
12,飞机,O
12,@,B-contact
12,ehseo6,I-contact
12,』,O
12,世界杯,O
12,赌球,O
12,",",O
12,世界杯,O
12,下注,O
12,",",O
12,世界杯,O
12,平台,O
12,.,O
12,eimswk20g,O
13,seo,O
13,优化,O
13,排名,O
13,系统,O
13,【,O
13,飞机,O
13,：,O
13,@,B-contact
13,lishengzhe,I-contact
13,】,O
13,谷歌,O
13,搜索,O
13,霸屏,O
13,推广,O
13,，,O
13,谷歌,O
13,SEO,O
13,优化,O
13,排名,O
13,，,O
13,谷歌,O
13,搜索,O
13,留痕,O
13,发外,O
13,链,O
13,引流,O
13,等,O
13,综合,O
13,推广,O
13,服务,O
13,！,O
13,ADIDLSZ7346848615,O
14,哪里,O
14,买,O
14,的,O
14,到,O
14,海外,O
14,SouL,O
14,账号,O
14,【,O
14,电报,O
14,飞机,O
14,∶,O
14,@,B-contact
14,bailufakabot,I-contact
14,_,O
14,电报,O
14,频道,O
14,∶,O
14,@,B-contact
14,bailufaka,I-contact
14,】,O
14,购买,O
14,出售,O
14,各类,O
14,平台,O
14,账号,O
14,卡号,O
14,ID,O
14,】,O
14,天津,O
14,南开区,O
14,TLMF,O
15,哪里,O
15,卖,O
15,企业,O
15,支付宝,O
15,账号,O
15,【,O
15,电报,O
15,飞机,O
15,∶,O
15,@,B-contact
15,bailufakabot,I-contact
15,_,O
15,纸飞机,O
15,频道,O
15,∶,O
15,@,B-contact
15,bailufaka,I-contact
15,】,O
15,购买,O
15,出售,O
15,各类,O
15,平台,O
15,账号,O
15,卡号,O
15,ID,O
15,】,O
15,株洲县,O
15,.,O
15,德国,O
15,汉堡,O
15,.,O
15,大丰,O
15,丨,O
15,日本,O
15,横滨,O
15,-,O
15,LRTe,O
16,菲律宾,O
16,短,O
16,信群发,O
16,,O
16,菲律宾群,O
16,发,O
16,,O
16,【,O
16,Telegram,O
16,:,O
16,@,B-contact
16,kkk6687,I-contact
16,】,O
16,174437,O
17,安徽省,O
17,谷歌,O
17,霸屏,O
17,【,O
17,小,O
17,飞机,O
17,：,O
17,sms10666,B-contact
17,】,O
17,g98272,O
18,搜索,O
18,留痕,O
18,【,O
18,飞机,O
18,：,O
18,@,B-contact
18,lishengzhe,I-contact
18,】,O
18,提供,O
18,开发,O
18,站,O
18,群,O
18,程序,O
18,，,O
18,谷歌,O
18,搜索,O
18,留痕,O
18,，,O
18,Google,O
18,搜索,O
18,留痕,O
18,软件,O
18,+,O
18,技术,O
18,+,O
18,教程,O
18,+,O
18,蜘蛛,O
18,池,O
18,+,O
18,站,O
18,群,O
18,搭建,O
18,全,O
18,服务,O
18,。,O
18,36569,O
19,手机,O
19,怎么,O
19,买,O
19,足球赛,O
19,赌注,O
19,『,O
19,谷歌,O
19,站,O
19,群,O
19,排名,O
19,联系,O
19,TG,O
19,@,B-contact
19,TGSEO2,I-contact
19,』,O
19,2022,O
19,年,O
19,10,O
19,月,O
19,12,O
19,日,O
19,4,O
19,时,O
19,32,O
19,分,O
19,18,O
19,秒,O
19,.,O
19,1tp1rxdb1,O
20,南京,O
20,谷歌,O
20,引流,O
20,【,O
20,小,O
20,飞机,O
20,：,O
20,sms10666,B-contact
20,】,O
20,g53517,O
21,2022,O
21,全新,O
21,telegram,O
21,引流,O
21,群发,O
21,助手,O
21,飞机,O
21,群发,O
21,软件,O
21,TG,O
21,曝光,O
21,王,O
21,【,O
21,飞机,O
21,电报,O
21,@,B-contact
21,baoguangwang,I-contact
21,】,O
21,2022,O
21,全新,O
21,telegram,O
21,引流,O
21,群发,O
21,助手,O
21,万源,O
21,1n9J,O
22,连云港,O
22,google,O
22,霸屏,O
22,【,O
22,小,O
22,飞机,O
22,：,O
22,sms10666,B-contact
22,】,O
22,d68881,O
23,加拿大,O
23,北极,O
23,群岛,O
23,【,O
23,TG,O
23,:,O
23,@,B-contact
23,JJ456,I-contact
23,】,O
23,源码,O
23,搭建,O
23,开发包,O
23,网,O
23,.,O
23,dxa,O
24,汤加,O
24,排名,O
24,服务,O
24,【,O
24,小,O
24,飞机,O
24,：,O
24,sms10666,B-contact
24,】,O
24,l11263,O
25,东南亚,O
25,诚聘,O
25,推广,O
25,【,O
25,TG,O
25,:,O
25,@,B-contact
25,SMS0917,I-contact
25,】,O
25,需要,O
25,推广,O
25,加,O
25,我,O
25,k51833,O
26,搜索,O
26,留痕,O
26,【,O
26,飞机,O
26,：,O
26,@,B-contact
26,lishengzhe,I-contact
26,】,O
26,提供,O
26,开发,O
26,站,O
26,群,O
26,程序,O
26,，,O
26,谷歌,O
26,搜索,O
26,留痕,O
26,，,O
26,Google,O
26,搜索,O
26,留痕,O
26,软件,O
26,+,O
26,技术,O
26,+,O
26,教程,O
26,+,O
26,蜘蛛,O
26,池,O
26,+,O
26,站,O
26,群,O
26,搭建,O
26,全,O
26,服务,O
26,。,O
26,77187,O
27,外贸,O
27,网站,O
27,建设,O
27,自助,O
27,【,O
27,飞机,O
27,：,O
27,@,B-contact
27,lishengzhe,I-contact
27,】,O
27,谷歌,O
27,搜索,O
27,霸屏,O
27,推广,O
27,，,O
27,谷歌,O
27,SEO,O
27,优化,O
27,排名,O
27,，,O
27,谷歌,O
27,搜索,O
27,留痕,O
27,发外,O
27,链,O
27,引流,O
27,等,O
27,综合,O
27,推广,O
27,服务,O
27,！,O
27,ADIDLSZ9553129165,O
28,重庆,O
28,谷歌,O
28,引流,O
28,【,O
28,小,O
28,飞机,O
28,：,O
28,sms10666,B-contact
28,】,O
28,C13786,O
29,zencart,O
29,外贸,O
29,网站,O
29,模板,O
29,【,O
29,飞机,O
29,：,O
29,@,B-contact
29,lishengzhe,I-contact
29,】,O
29,谷歌,O
29,搜索,O
29,霸屏,O
29,推广,O
29,，,O
29,谷歌,O
29,SEO,O
29,优化,O
29,排名,O
29,，,O
29,谷歌,O
29,搜索,O
29,留痕,O
29,发外,O
29,链,O
29,引流,O
29,等,O
29,综合,O
29,推广,O
29,服务,O
29,！,O
29,ADIDLSZ6375836173,O
30,搜索,O
30,留痕,O
30,【,O
30,飞机,O
30,：,O
30,@,B-contact
30,lishengzhe,I-contact
30,】,O
30,提供,O
30,开发,O
30,站,O
30,群,O
30,程序,O
30,，,O
30,谷歌,O
30,搜索,O
30,留痕,O
30,，,O
30,Google,O
30,搜索,O
30,留痕,O
30,软件,O
30,+,O
30,技术,O
30,+,O
30,教程,O
30,+,O
30,蜘蛛,O
30,池,O
30,+,O
