sentence_index,word,label
0,whats,O
0,翻译器,O
0,【,O
0,联系,O
0,飞机,O
0,+,O
0,@,B-contact
0,TWKF01,I-contact
0,】,O
0,通用版,O
0,翻译,O
0,助手,O
0,致力于,O
0,解决,O
0,全,O
0,场景,O
0,语言障碍,O
0,，,O
0,多,O
0,领域,O
0,适用,O
0,，,O
0,可,O
0,快速,O
0,实现,O
0,一种,O
0,语言,O
0,到,O
0,另,O
0,一种,O
0,语言,O
0,的,O
0,自动,O
0,翻译,O
0,.,O
0,upl,O
1,google,O
1,收录,O
1,原则,O
1,【,O
1,TG,O
1,电报,O
1,:,O
1,@,B-contact
1,bapingseo,I-contact
1,】,O
1,塞舌尔,O
1,竞价,O
1,开户,O
1,【,O
1,TG,O
1,飞机,O
1,:,O
1,@,B-contact
1,bapingseo,I-contact
1,】,O
1,谷歌,O
1,競價,O
1,關鍵,O
1,詞,O
1,成本,O
1,【,O
1,Telegram,O
1,:,O
1,@,B-contact
1,bapingseo,I-contact
1,】,O
1,哪里找,O
1,立博,O
1,app,O
1,是,O
1,正规,O
1,平台,O
1,吗,O
1,五大,O
1,联赛,O
1,竞猜,O
1,英超,O
1,赛事,O
1,投注,O
1,足球,O
1,亚盘,O
1,与,O
1,大小球,O
1,对比,O
2,fb,O
2,推廣,O
2,+,O
2,2021,O
2,+,O
2,【,O
2,tg,O
2,飞机,O
2,∶,O
2,@,B-contact
2,liuhenbaping,I-contact
2,】,O
2,+,O
2,谷歌,O
2,推广,O
2,+,O
2,做法,O
2,+,O
2,】,O
2,谷歌,O
2,推广,O
2,账号,O
2,【,O
2,tg,O
2,飞机,O
2,∶,O
2,@,B-contact
2,liuhenbaping,I-contact
2,】,O
2,+,O
2,youtube,O
2,广告,O
2,位置,O
2,+,O
2,】,O
2,廣交會,O
2,上,O
2,海外,O
2,貿,O
2,品牌,O
2,推廣,O
2,【,O
2,tg,O
2,飞机,O
2,∶,O
2,@,B-contact
2,liuhenbaping,I-contact
2,】,O
2,梵蒂冈,O
2,谷歌,O
2,霸屏,O
2,推广,O
2,排名,O
2,+,O
2,】,O
2,?,O
