sentence_index,word,label
0,宁远县,O
0,小妹,O
0,全套,O
0,服务,O
0,(,O
0,徴,O
0,☀,O
0,️,O
0,81,B-contact
0,_,I-contact
0,2828,I-contact
0,_,I-contact
0,338,I-contact
0,),O
1,大学,O
1,成绩单,O
1,日语翻译,O
1,模板,O
1,【,O
1,办证,O
1,WeChat,O
1,微,O
1,aptao168,B-contact
1,】,O
1,Vi0bw,O
2,长沙,O
2,代开,O
2,住宿,O
2,票,O
2,【,O
2,代,O
2,开票,O
2,(,O
2,微信,O
2,),O
2,+,O
2,hnx618618,B-contact
2,】,O
2,保真,O
3,原单,O
3,菲,O
3,拉格,O
3,慕,O
3,男装,O
3,工厂,O
3,货源,O
3,【,O
3,复刻,O
3,微信,O
3,10086082,B-contact
3,】,O
3,鸡东县,O
3,~,O
3,乌兰浩特,O
3,-,O
3,肇庆,O
3,鼎湖区,O
3,-,O
3,重庆,O
3,江北区,O
3,-,O
3,mawa,O
4,曼荷莲,O
4,学院,O
4,毕业证,O
4,「,O
4,办证,O
4,微,O
4,kaa7778,B-contact
4,」,O
4,JxVws,O
5,,O
5,《,O
5,办,O
5,NTU,O
5,文凭,O
5,毕业证,O
5,》,O
5,【,O
5,微,O
5,bwp1368,B-contact
5,】,O
5,办,O
5,北领地,O
5,大学,O
5,毕业证,O
5,/,O
5,澳洲,O
5,留学,O
5,文凭,O
5,留信网,O
5,认证,O
5,|,O
5,,O
5,Northern,O
5,,O
5,Territory,O
5,,O
5,University,O
5,广汉,O
5,BS,O
6,绵竹,O
6,白领,O
6,本地,O
6,陪,O
6,玩,O
6,上门,O
6,(,O
6,白领,O
6,微信,O
6,896606662,B-contact
6,),O
6,兼职,O
6,模特,O
6,包养,O
6,.,O
6,空姐,O
6,伴游,O
6,.,O
6,高邑县,O
6,-,O
6,曲松县,O
6,~,O
6,沅陵县,O
6,~,O
6,白银,O
6,.,O
6,qmWC,O
7,潍坊,O
7,哪里,O
7,能,O
7,开,O
7,住宿费,O
7,发票,O
7,【,O
7,代,O
7,开发票,O
7,_,O
7,微信,O
7,_,O
7,hnx618618,B-contact
7,】,O
7,可,O
7,查验,O
7,>,O
7,开票,O
7,项目,O
7,:,O
7,餐饮,O
7,-,O
7,住宿,O
7,-,O
7,咨询,O
7,-,O
7,会议,O
7,-,O
7,销售,O
7,-,O
7,房租,O
7,-,O
7,酒店,O
7,-,O
7,物业,O
7,-,O
7,建材,O
7,-,O
7,装修,O
7,-,O
7,材料,O
7,-,O
7,劳务,O
7,-,O
7,等,O
7,电子,O
7,发票,O
7,(,O
7,ErLh0930,O
7,),O
8,和田,O
8,(,O
8,美女,O
8,微信,O
8,896606662,B-contact
8,),O
8,高端,O
8,美女,O
8,上门,O
8,一条龙,O
8,9u53,O
9,学历,O
9,证书编号,O
9,在,O
9,哪里,O
9,有,O
9,【,O
9,WeChat,O
9,微,O
9,KAA2238,B-contact
9,】,O
9,xhy,O
10,高仿,O
10,lv,O
10,女包,O
10,天津,O
10,【,O
10,复刻,O
10,微信,O
10,10086082,B-contact
10,】,O
10,莱阳,O
10,_,O
10,铜鼓县,O
10,.,O
10,芜湖,O
10,镜湖区,O
10,-,O
10,长春,O
10,朝阳区,O
10,_,O
10,bvme,O
11,🎓,O
11,〈,O
11,本科,O
11,学位,O
11,咨询,O
11,〉,O
11,微信,O
11,q729926040,B-contact
11,英国,O
11,威尔士,O
11,大学,O
11,文凭,O
12,定制,O
12,菲律宾,O
12,身份证,O
12,KYC,O
12,认证,O
12,资料,O
12,「,O
12,办证,O
12,微,O
12,kaa7778,B-contact
12,」,O
12,vbG8GK,O
13,通辽,O
13,代孕,O
13,生子,O
13,一般,O
13,多少,O
13,钱,O
13,【,O
13,试管,O
13,微信,O
13,38332747,B-contact
13,】,O
13,长春,O
13,宽城区,O
13,-,O
13,科特迪瓦,O
13,阿比让,O
13,-,O
13,美国,O
13,印第安,O
13,阿,O
13,波利斯,O
13,_,O
13,新绛县,O
13,_,O
13,XYZj,O
14,佛山,O
14,兼职,O
14,高端,O
14,学生,O
14,本地,O
14,陪,O
14,玩,O
14,上门,O
14,【,O
14,外围,O
14,女微信,O
14,896606662,B-contact
14,】,O
14,胶州,O
14,【,O
14,小姐,O
14,微信,O
14,896606662,B-contact
14,】,O
14,哪里找,O
14,高端,O
14,少妇,O
14,白领,O
14,服务,O
14,美国,O
14,罗切斯特,O
14,_,O
14,济南,O
14,钢城区,O
14,-,O
14,保德县,O
14,-,O
14,张家口,O
14,万,O
14,全区,O
14,丨,O
14,TP,O
15,湖南,O
15,受精,O
15,《,O
15,薇,O
15,信,O
15,:,O
15,HAIIVF,B-contact
15,》,O
15,湖南,O
15,受精,O
15,湖南,O
15,受精,O
15,湖南,O
15,受精,O
15,湖南,O
15,受精,O
15,湖南,O
15,受精,O
15,.,O
15,ugw,O
16,陵水黎族自治县,O
16,哪里,O
16,有,O
16,特色,O
16,服务,O
16,微,O
16,:,O
16,812828338,B-contact
16,陵水黎族自治县,O
16,休闲,O
16,娱乐场所,O
16,特殊,O
16,服务,O
16,微,O
16,:,O
16,812828338,B-contact
17,美国,O
17,columbia,O
17,硕士,O
17,学历,O
17,q,O
17,微,O
17,-,O
17,1954292140,B-contact
18,奥地利,O
18,居留证,O
18,怎么,O
18,仿制,O
18,《,O
18,做,O
18,证微,O
18,fuk7778,B-contact
18,》,O
18,H4kd309,O
19,岳阳,O
19,哪里,O
19,能玩到,O
19,妹子,O
19,媛,O
19,交,O
19,一夜情,O
19,(,O
19,白领,O
19,微信,O
19,80708238,B-contact
19,),O
19,Z5DH,O
20,张家口,O
20,出台,O
20,姑娘,O
20,63.7879,O
20,.,O
20,39VX,O
20,殊环,O
21,咸阳,O
21,☀,O
21,️,O
21,少妇,O
21,微信,O
21,80708238,B-contact
21,☀,O
21,️,O
21,哪里,O
21,能玩到,O
21,品茶,O
21,特殊,O
21,服务,O
21,HQXr,O
22,北京,O
22,哪个,O
22,医院,O
22,可以,O
22,做,O
22,捐卵,
22,【,O
22,微信,O
22,：,O
22,son10010,B-contact
22,】,O
22,.,O
22,nsi,O
23,泉州市,O
23,休闲,O
23,洗浴,O
23,桑拿,O
23,【,O
23,微信,O
23,95768498,B-contact
23,】,O
24,『,O
24,文凭,O
24,和,O
24,学位,O
24,的,O
24,区别,O
24,』,O
24,gcu,O
24,毕业证,O
24,成绩单,O
24,《,O
24,微信,O
24,1954292140,B-contact
24,》,O
25,高仿,O
25,顶级,O
25,奢侈品,O
25,服装,O
25,女微信,O
25,【,O
25,A,O
25,货,O
25,+,O
25,微,O
25,AWQ3622,B-contact
25,】,O
25,复刻,O
26,芬兰,O
26,谷歌,O
26,代发,O
26,留痕,O
26,【,O
26,TG,O
26,电报,O
26,∶,O
26,e10838,B-contact
26,+,O
26,微信,O
26,同号,O
26,】,O
26,快速,O
26,收录,O
26,排名,O
26,.,O
26,fay.0812,O
27,q,O
27,微,O
27,936794295,B-contact
27,加拿大,O
27,cu,O
27,毕业证,O
27,成绩单,O
27,加拿大,O
27,康,O
27,卡迪亚,O
27,大学,O
27,学,O
28,买个,O
28,假,O
28,台湾,O
28,育达,O
28,科技,O
28,大学,O
28,文凭,O
28,毕业证,O
28,【,O
28,办证,O
28,加微,O
28,ADXC68,O
28,】,O
28,38zR7kqE,O
29,laval,O
29,文凭,O
29,证书,O
29,！,O
29,办理,O
29,原版,O
29,文凭,O
29,q,O
29,微,O
29,74404312,B-contact
30,毕业证书,O
30,补办,O
30,办理,O
30,本科,O
30,硕士,O
30,英国,O
30,ljmu,O
30,毕业证书,O
30,【,O
30,q,O
30,微,O
30,19,B-contact
31,《,O
31,佛罗伦萨,O
31,美术学院,O
31,毕业证,O
31,成绩单,O
31,办理,O
31,》,O
31,《,O
31,q,O
31,微信,O
31,1954,B-contact
32,92814,I-contact
32,-,O
32,澳大利亚,O
32,大学,O
32,毕业证,O
32,怎么办,O
32,q,O
32,微,O
32,869520616,B-contact
32,办理,O
32,澳洲,O
32,文凭,O
32,学历,O
32,昆士兰,O
32,科技,O
32,大学,O
32,qut,O
32,毕业证,O
32,成绩单,O
32,文凭,O
32,澳洲,O
32,真实,O
32,原版,O
32,毕业证书,O
32,学历,O
32,文凭,O
32,澳洲,O
32,毕业证,O
32,证明,O
32,澳洲,O
32,证书,O
32,假学历,O
32,假文凭,O
32,高仿,O
32,澳洲,O
32,文凭,O
32,学历证书,O
32,教育部,O
32,留服,O
32,queensland,O
32,-,O
32,university,O
32,-,O
32,oftechnology,O
33,(,O
33,美女,O
33,微信,O
33,80708238,B-contact
33,),O
33,学生,O
33,养生,O
33,spa,O
33,龙井,O
33,找,O
33,外围,O
33,小姐,O
33,一条龙,O
33,(,O
33,白领,O
33,微信,O
33,80708238,B-contact
33,),O
33,翼城县,O
33,-,O
33,无锡,O
